code,name
SLC1A1 PE,SLC_1_A1
SLC1A2 PE,SLC_1_A2
SLC1A3 PE,SLC_1_A3
SLC1A4 PE,SLC_1_A4
SLC1A5 PE,SLC_1_A5
SLC1A6 PE,SLC_1_A6
SLC1A7 PE,SLC_1_A7
SLC10A1 PE,SLC_10_A1
SLC10A2 PE,SLC_10_A2
SLC10A3 PE,SLC_10_A3
SLC10A4 PE,SLC_10_A4
SLC10A5 PE,SLC_10_A5
SLC10A6 PE,SLC_10_A6
SLC10A7 PE,SLC_10_A7
SLC11A1 PE,SLC_11_A1
SLC11A2 PE,SLC_11_A2
SLC12A1 PE,SLC_12_A1
SLC12A2 PE,SLC_12_A2
SLC12A3 PE,SLC_12_A3
SLC12A4 PE,SLC_12_A4
SLC12A5 PE,SLC_12_A5
SLC12A6 PE,SLC_12_A6
SLC12A7 PE,SLC_12_A7
SLC12A8 PE,SLC_12_A8
SLC12A9 PE,SLC_12_A9
SLC13A1 PE,SLC_13_A1
SLC13A2 PE,SLC_13_A2
SLC13A3 PE,SLC_13_A3
SLC13A4 PE,SLC_13_A4
SLC13A5 PE,SLC_13_A5
SLC14A1 PE,SLC_14_A1
SLC14A2 PE,SLC_14_A2
SLC15A1 PE,SLC_15_A1
SLC15A2 PE,SLC_15_A2
SLC15A3 PE,SLC_15_A3
SLC15A4 PE,SLC_15_A4
SLC15A5 PE,SLC_15_A5
SLC16A1 PE,SLC_16_A1
SLC16A10 PE,SLC_16_A10
SLC16A11 PE,SLC_16_A11
SLC16A12 PE,SLC_16_A12
SLC16A13 PE,SLC_16_A13
SLC16A14 PE,SLC_16_A14
SLC16A2 PE,SLC_16_A2
SLC16A3 PE,SLC_16_A3
SLC16A4 PE,SLC_16_A4
SLC16A5 PE,SLC_16_A5
SLC16A6 PE,SLC_16_A6
SLC16A7 PE,SLC_16_A7
SLC16A8 PE,SLC_16_A8
SLC16A9 PE,SLC_16_A9
SLC17A1 PE,SLC_17_A1
SLC17A2 PE,SLC_17_A2
SLC17A3 PE,SLC_17_A3
SLC17A4 PE,SLC_17_A4
SLC17A5 PE,SLC_17_A5
SLC17A6 PE,SLC_17_A6
SLC17A7 PE,SLC_17_A7
SLC17A8 PE,SLC_17_A8
SLC17A9 PE,SLC_17_A9
SLC18A1 PE,SLC_18_A1
SLC18A2 PE,SLC_18_A2
SLC18A3 PE,SLC_18_A3
SLC18B1 PE,SLC_18_B1
SLC19A1 PE,SLC_19_A1
SLC19A2 PE,SLC_19_A2
SLC19A3 PE,SLC_19_A3
SLC2A1 PE,SLC_2_A1
SLC2A10 PE,SLC_2_A10
SLC2A11 PE,SLC_2_A11
SLC2A12 PE,SLC_2_A12
SLC2A13 PE,SLC_2_A13
SLC2A14 PE,SLC_2_A14
SLC2A2 PE,SLC_2_A2
SLC2A3 PE,SLC_2_A3
SLC2A4 PE,SLC_2_A4
SLC2A5 PE,SLC_2_A5
SLC2A6 PE,SLC_2_A6
SLC2A7 PE,SLC_2_A7
SLC2A8 PE,SLC_2_A8
SLC2A9 PE,SLC_2_A9
SLC20A1 PE,SLC_20_A1
SLC20A2 PE,SLC_20_A2
SLCO1A2 PE,SLC_21_1A2
SLCO1B1 PE,SLC_21_1B1
SLCO1B3 PE,SLC_21_1B3
SLCO1B7 PE,SLC_21_1B7
SLCO1C1 PE,SLC_21_1C1
SLCO2A1 PE,SLC_21_2A1
SLCO2B1 PE,SLC_21_2B1
SLCO3A1 PE,SLC_21_3A1
SLCO4A1 PE,SLC_21_4A1
SLCO4C1 PE,SLC_21_4C1
SLCO5A1 PE,SLC_21_5A1
SLCO6A1 PE,SLC_21_6A1
A0A0A6YYJ9,SLC_21_X1
SLC22A1 PE,SLC_22_A1
SLC22A10 PE,SLC_22_A10
SLC22A11 PE,SLC_22_A11
SLC22A12 PE,SLC_22_A12
SLC22A13 PE,SLC_22_A13
SLC22A14 PE,SLC_22_A14
SLC22A15 PE,SLC_22_A15
SLC22A16 PE,SLC_22_A16
SLC22A17 PE,SLC_22_A17
SLC22A18 PE,SLC_22_A18
SLC22A2 PE,SLC_22_A2
SLC22A23 PE,SLC_22_A23
SLC22A24 PE,SLC_22_A24
SLC22A25 PE,SLC_22_A25
SLC22A3 PE,SLC_22_A3
SLC22A31 PE,SLC_22_A31
MFSD10 PE,SLC_22_A32
SLC22A4 PE,SLC_22_A4
SLC22A5 PE,SLC_22_A5
SLC22A6 PE,SLC_22OAT_A6
SLC22A7 PE,SLC_22OAT_A7
SLC22A8 PE,SLC_22OAT_A8
SLC22A9 PE,SLC_22OAT_A9
SV2A PE,SLC_22SV_B1
SV2B PE,SLC_22SV_B2
SV2C PE,SLC_22SV_B3
SVOP PE,SLC_22SV_B4
SVOPL PE,SLC_22SV_B5
SLC23A1 PE,SLC_23_A1
SLC23A2 PE,SLC_23_A2
SLC23A3 PE,SLC_23_A3
SLC24A1 PE,SLC_24_A1
SLC24A2 PE,SLC_24_A2
SLC24A3 PE,SLC_24_A3
SLC24A4 PE,SLC_24_A4
SLC24A5 PE,SLC_24_A5
SLC25A1 PE,SLC_25_A1
SLC25A10 PE,SLC_25_A10
SLC25A11 PE,SLC_25_A11
SLC25A12 PE,SLC_25_A12
SLC25A13 PE,SLC_25_A13
SLC25A14 PE,SLC_25_A14
SLC25A15 PE,SLC_25_A15
SLC25A16 PE,SLC_25_A16
SLC25A17 PE,SLC_25_A17
SLC25A18 PE,SLC_25_A18
SLC25A19 PE,SLC_25_A19
SLC25A2 PE,SLC_25_A2
SLC25A20 PE,SLC_25_A20
SLC25A21 PE,SLC_25_A21
SLC25A22 PE,SLC_25_A22
SLC25A23 PE,SLC_25_A23
SLC25A24 PE,SLC_25_A24
SLC25A25 PE,SLC_25_A25
SLC25A26 PE,SLC_25_A26
SLC25A27 PE,SLC_25_A27
SLC25A28 PE,SLC_25_A28
SLC25A29 PE,SLC_25_A29
SLC25A3 PE,SLC_25_A3
SLC25A30 PE,SLC_25_A30
SLC25A31 PE,SLC_25_A31
SLC25A32 PE,SLC_25_A32
SLC25A33 PE,SLC_25_A33
SLC25A34 PE,SLC_25_A34
SLC25A35 PE,SLC_25_A35
SLC25A36 PE,SLC_25_A36
