Dm_FBgn,Dm_FBpp,name,CG,len
FBgn0031081,FBpp0070000,Nep3,CG9565,786
FBgn0031081,FBpp0300206,Nep3,CG9565,786
FBgn0031081,FBpp0300207,Nep3,CG9565,786
FBgn0031085,FBpp0070001,CG9570,CG9570,210
FBgn0062565,FBpp0070002,Or19b,CG32825,387
FBgn0031088,FBpp0290784,CG15322,CG15322,740
FBgn0031088,FBpp0309860,CG15322,CG15322,740
FBgn0041626,FBpp0070028,Or19a,CG18859,387
FBgn0040784,FBpp0290787,karr,CG15323,97
FBgn0031086,FBpp0070031,fd19B,CG9571,260
FBgn0031082,FBpp0070034,CG17003,CG17003,287
FBgn0031080,FBpp0070035,CG12655,CG12655,155
FBgn0053217,FBpp0070044,CG33217,CG33217,699
FBgn0052350,FBpp0070045,Vps11,CG32350,830
FBgn0024733,FBpp0289147,RpL10,CG17521,218
FBgn0024733,FBpp0289148,RpL10,CG17521,218
FBgn0024733,FBpp0306039,RpL10,CG17521,218
FBgn0040372,FBpp0070062,G9a,CG2995,1637
FBgn0040372,FBpp0305207,G9a,CG2995,1657
FBgn0000316,FBpp0070063,cin,CG2945,601
FBgn0000316,FBpp0070064,cin,CG2945,601
FBgn0024989,FBpp0070065,CG3777,CG3777,879
FBgn0024989,FBpp0070066,CG3777,CG3777,879
FBgn0024989,FBpp0070067,CG3777,CG3777,879
FBgn0024989,FBpp0309733,CG3777,CG3777,879
FBgn0024989,FBpp0310562,CG3777,CG3777,879
FBgn0040371,FBpp0070068,CG12470,CG12470,195
FBgn0029521,FBpp0070069,Or1a,CG17885,392
FBgn0004034,FBpp0070070,y,CG3757,541
FBgn0000022,FBpp0070071,ac,CG3796,201
FBgn0004170,FBpp0070072,sc,CG3827,345
FBgn0002561,FBpp0070073,l,CG3839,257
FBgn0000137,FBpp0070074,ase,CG3258,486
FBgn0029522,FBpp0070075,CG13373,CG13373,124
FBgn0029522,FBpp0111860,CG13373,CG13373,177
FBgn0052817,FBpp0070076,CG32817,CG32817,121
FBgn0052817,FBpp0307856,CG32817,CG32817,121
FBgn0052817,FBpp0289557,CG32817,CG32817,121
FBgn0029524,FBpp0070077,CG3176,CG3176,121
FBgn0029524,FBpp0307857,CG3176,CG3176,101
FBgn0029524,FBpp0307858,CG3176,CG3176,101
FBgn0029524,FBpp0310106,CG3176,CG3176,121
FBgn0023536,FBpp0070078,CG3156,CG3156,692
FBgn0023534,FBpp0070079,CG17778,CG17778,127
FBgn0023534,FBpp0309131,CG17778,CG17778,127
FBgn0023535,FBpp0070083,arg,CG18104,351
FBgn0023537,FBpp0070087,CG17896,CG17896,520
FBgn0023537,FBpp0070088,CG17896,CG17896,511
FBgn0029525,FBpp0070089,CG18273,CG18273,1377
FBgn0010019,FBpp0070094,Cyp4g1,CG3972,556
FBgn0011822,FBpp0070095,Pgcl,CG13374,407
FBgn0052816,FBpp0070096,CG32816,CG32816,378
FBgn0052816,FBpp0070097,CG32816,CG32816,378
FBgn0052816,FBpp0271950,CG32816,CG32816,293
FBgn0052816,FBpp0271951,CG32816,CG32816,293
FBgn0052816,FBpp0310563,CG32816,CG32816,378
FBgn0052816,FBpp0310564,CG32816,CG32816,378
FBgn0040370,FBpp0070098,CG13375,CG13375,306
FBgn0040370,FBpp0289555,CG13375,CG13375,306
FBgn0040370,FBpp0309734,CG13375,CG13375,277
FBgn0040373,FBpp0070102,CG3038,CG3038,358
FBgn0040373,FBpp0070103,CG3038,CG3038,388
FBgn0040373,FBpp0309182,CG3038,CG3038,359
FBgn0000108,FBpp0070104,Appl,CG7727,887
FBgn0000108,FBpp0298292,Appl,CG7727,890
FBgn0000108,FBpp0298293,Appl,CG7727,830
FBgn0000108,FBpp0298294,Appl,CG7727,888
FBgn0000108,FBpp0298295,Appl,CG7727,883
FBgn0000108,FBpp0298296,Appl,CG7727,888
FBgn0025640,FBpp0070110,CG13369,CG13369,304
FBgn0025635,FBpp0070111,CG17829,CG17829,467
FBgn0025635,FBpp0070112,CG17829,CG17829,448
FBgn0025635,FBpp0070113,CG17829,CG17829,467
FBgn0001341,FBpp0070114,Mybbp1A,CG6189,1133
FBgn0003575,FBpp0070115,su,CG6222,1325
FBgn0003575,FBpp0309080,su,CG6222,1321
FBgn0003575,FBpp0309081,su,CG6222,1325
FBgn0025634,FBpp0070116,CG13367,CG13367,408
FBgn0025638,FBpp0300874,Roc1a,CG16982,136
FBgn0025638,FBpp0070117,Roc1a,CG16982,108
FBgn0025638,FBpp0310165,Roc1a,CG16982,108
FBgn0040383,FBpp0070129,CG5254,CG5254,306
FBgn0040383,FBpp0310321,CG5254,CG5254,237
FBgn0040382,FBpp0070130,CG5273,CG5273,469
FBgn0040382,FBpp0070131,CG5273,CG5273,469
FBgn0040382,FBpp0070132,CG5273,CG5273,469
FBgn0027343,FBpp0070133,fz3,CG16785,581
FBgn0027343,FBpp0111841,fz3,CG16785,646
FBgn0027343,FBpp0311620,fz3,CG16785,581
FBgn0025621,FBpp0070135,CG16989,CG16989,940
FBgn0025621,FBpp0309983,CG16989,CG16989,940
FBgn0029535,FBpp0070137,CG14635,CG14635,119
FBgn0026874,FBpp0288637,CG13358,CG13358,301
FBgn0025616,FBpp0070140,CG13359,CG13359,493
FBgn0015799,FBpp0070141,Rbf,CG7413,845
FBgn0025620,FBpp0070142,CG13360,CG13360,421
