HUGO_name,len,Hs_uniprot_code
DNAJC25-GNG10,153,A0A024R161
hCG_2014768,64,A0A024R1R8
NUDT4B,181,A0A024RBG1
TRBV20OR9-2,130,A0A075B6H5
IGKV3-7,116,A0A075B6H7
IGKV1D-42,117,A0A075B6H8
IGLV4-69,119,A0A075B6H9
IGLV8-61,122,A0A075B6I0
IGLV4-60,120,A0A075B6I1
IGLV11-55,123,A0A075B6I3
IGLV10-54,117,A0A075B6I4
IGLV1-50,118,A0A075B6I6
IGLV5-48,105,A0A075B6I7
IGLV7-46,117,A0A075B6I9
IGLV5-37,123,A0A075B6J1
IGLV2-33,118,A0A075B6J2
IGLV3-22,115,A0A075B6J6
IGLV2-18,118,A0A075B6J9
IGLV3-16,115,A0A075B6K0
IGLV3-12,115,A0A075B6K2
IGLV3-10,115,A0A075B6K4
IGLV3-9,115,A0A075B6K5
IGLV4-3,122,A0A075B6K6
TRGV11,103,A0A075B6L2
TRBV7-3,115,A0A075B6L6
TRBV19,114,A0A075B6N1
TRBV20-1,111,A0A075B6N2
TRBV24-1,115,A0A075B6N3
TRBV25-1,114,A0A075B6N4
IGKV2-28,120,A0A075B6P5
A0A075B6Q4,140,A0A075B6Q4
IGHV3-64,118,A0A075B6Q5
TRGV2,118,A0A075B6R0
IGHV4-4,117,A0A075B6R2
IGKV2D-24,120,A0A075B6R9
TRGJ2,17,A0A075B6S0
IGKV2D-29,120,A0A075B6S2
IGKV1D-17,117,A0A075B6S4
IGKV1-27,117,A0A075B6S5
IGKV2D-30,120,A0A075B6S6
IGKV1-37,117,A0A075B6S9
A0A075B6T3,26,A0A075B6T3
TRAV12-2,113,A0A075B6T6
TRAV6,132,A0A075B6T7
TRAV9-1,112,A0A075B6T8
TRAV7,112,A0A075B6U4
TRAV8-7,113,A0A075B6U6
TRAJ23,21,A0A075B6U7
TRAJ12,20,A0A075B6U8
TRAJ2,22,A0A075B6U9
TRAJ16,20,A0A075B6V0
TRAJ43,18,A0A075B6V1
TRAJ21,18,A0A075B6V2
TRAJ48,21,A0A075B6V3
TRAV36DV7,113,A0A075B6V5
TRDJ2,18,A0A075B6V6
TRAJ26,20,A0A075B6V7
TRAJ5,20,A0A075B6V8
TRAJ59,18,A0A075B6V9
TRDJ3,20,A0A075B6W1
