Dm_FBgn,CG,name,len
FBgn0010339,CG8340,128up,368
FBgn0020238,CG31196,14,262
FBgn0004907,CG17870,14,248
FBgn0010340,CG9852,140up,261
FBgn0004364,CG8896,18w,1385
FBgn0250848,CG8947,26,549
FBgn0260793,CG42573,2mit,1155
FBgn0029514,CG9166,312,241
FBgn0052016,CG32016,4E,1010
FBgn0261929,CG42796,5,947
FBgn0087012,CG1056,5,930
FBgn0004168,CG16720,5,846
FBgn0263116,CG15113,5,629
FBgn0004573,CG12073,5,564
FBgn0259178,CG42283,5PtaseI,699
FBgn0041707,CG1168,7B2,276
FBgn0052208,CG32208,825,129
FBgn0000008,CG6741,a,1329
FBgn0011293,CG6642,a10,155
FBgn0028965,CG9933,A16,376
FBgn0011294,CG5430,a5,210
FBgn0023130,CG3771,a6,409
FBgn0019643,CG3318,AANAT1,275
FBgn0031791,CG9486,AANATL2,216
FBgn0032839,CG10659,AANATL3,222
FBgn0034429,CG18607,AANATL4,224
FBgn0034426,CG10476,AANATL5,222
FBgn0034428,CG18606,AANATL6,222
FBgn0040376,CG13759,AANATL7,228
FBgn0027780,CG13401,Aasdh,1012
FBgn0031851,CG11188,Aatf,488
FBgn0023129,CG3705,aay,270
FBgn0264442,CG43860,ab,904
FBgn0031170,CG1718,ABCA,1714
FBgn0035244,CG7955,ABCB7,743
FBgn0000014,CG10325,abd,590
FBgn0000015,CG11648,Abd,493
FBgn0020510,CG9749,Abi,477
FBgn0000017,CG4032,Abl,1723
FBgn0000018,CG6093,abo,539
FBgn0036372,CG10083,Abp1,531
FBgn0015331,CG14637,abs,619
FBgn0000022,CG3796,ac,201
FBgn0022710,CG9210,Ac13E,1703
FBgn0023416,CG1506,Ac3,1167
FBgn0004852,CG7978,Ac76E,1312
FBgn0024150,CG10564,Ac78C,1727
FBgn0011273,CG17769,Acam,148
FBgn0031992,CG8498,Acbp1,90
FBgn0010387,CG8627,Acbp2,86
FBgn0250836,CG8628,Acbp3,84
FBgn0035742,CG8629,Acbp4,84
FBgn0035926,CG5804,Acbp5,82
FBgn0035743,CG15829,Acbp6,82
FBgn0033246,CG11198,ACC,2482
FBgn0012034,CG9390,AcCoAS,670
FBgn0000024,CG17907,Ace,649
FBgn0016122,CG10593,Acer,630
FBgn0027620,CG1966,Acf,1476
FBgn0033749,CG8819,achi,555
FBgn0033936,CG17386,Achl,867
FBgn0000028,CG9151,acj6,396
FBgn0263998,CG43741,Ack,1495
FBgn0028484,CG14992,Ack,1073
FBgn0263198,CG10473,Acn,739
FBgn0034628,CG9707,Acox57D,677
FBgn0034629,CG9709,Acox57D,677
FBgn0014454,CG7216,Acp1,135
FBgn0051779,CG31779,Acp24A4,78
FBgn0002855,CG8982,Acp26Aa,264
FBgn0002856,CG9024,Acp26Ab,90
